+,Symbol,Prev_Close,IEP_Price,Chng,%Chng,Final_Price,Final_Quantity,Value(lakhs),FFM_CAP(lakhs),NM 52W H,NM 52W L,TODAY
,INFY,"1,441.05","1,474.00",32.95,2.29,"1,474.00","2,35,039","3,464.47","5,34,06,790.92","1,455.00",603.50,
,CIPLA,883.05,890.00,6.95,0.79,890.00,"29,671",264.07,"44,86,512.85",892.30,564.00,
,SUNPHARMA,636.75,639.00,2.25,0.35,639.00,"26,971",172.34,"68,74,994.44",654.40,434.25,
,DRREDDY,"4,760.30","4,775.00",14.70,0.31,"4,775.00","3,871",184.84,"57,78,969.42","5,512.65","3,593.20",
,DIVISLAB,"3,752.35","3,760.00",7.65,0.20,"3,760.00","2,785",104.72,"47,81,428.93","3,914.95","2,090.05",
,TCS,"3,322.25","3,322.25",0.00,0.00,"3,322.25","36,265","1,204.81","3,44,09,685.59","3,354.35","1,675.05",
,WIPRO,450.10,450.00,-0.10,-0.02,450.00,"63,418",285.38,"66,58,598.68",467.45,173.80,
,TECHM,"1,053.00","1,051.00",-2.00,-0.19,"1,051.00","12,522",131.61,"65,25,298.24","1,081.55",490.00,
,HCLTECH,"1,045.40","1,042.95",-2.45,-0.23,"1,042.95","10,464",109.13,"1,13,47,461.97","1,067.00",447.85,
,BRITANNIA,"3,797.70","3,777.95",-19.75,-0.52,"3,777.95","1,173",44.32,"44,82,253.09","4,010.00","2,697.35",
,TATACONSUM,679.80,675.00,-4.80,-0.71,675.00,"18,545",125.18,"40,72,060.56",685.00,300.20,
,LT,"1,404.10","1,393.95",-10.15,-0.72,"1,393.95","23,760",331.20,"1,69,58,919.50","1,593.00",791.70,
,POWERGRID,208.30,206.65,-1.65,-0.79,206.65,"27,287",56.39,"53,39,726.61",238.30,153.30,
,ULTRACEMCO,"6,825.85","6,763.30",-62.55,-0.92,"6,763.30","1,231",83.26,"78,80,893.08","7,055.95","3,231.00",
,SBILIFE,910.10,900.65,-9.45,-1.04,900.65,"4,648",41.86,"35,49,637.56",983.75,667.00,
,COALINDIA,129.50,128.00,-1.50,-1.16,128.00,"61,194",78.33,"27,13,449.28",163.00,109.55,
,RELIANCE,"1,982.05","1,959.00",-23.05,-1.16,"1,959.00","95,629","1,873.37","6,40,81,963.37","2,369.35","1,131.68",
,NESTLEIND,"17,592.40","17,375.15",-217.25,-1.23,"17,375.15",159,27.63,"62,75,880.22","18,844.00","15,100.00",
,EICHERMOT,"2,521.60","2,490.00",-31.60,-1.25,"2,490.00","2,174",54.13,"35,15,143.69","3,037.00","1,285.55",
,NTPC,102.80,101.50,-1.30,-1.26,101.50,"40,151",40.75,"48,84,404.67",114.70,78.10,
,MARUTI,"6,827.10","6,739.85",-87.25,-1.28,"6,739.85","2,378",160.27,"90,74,255.42","8,329.00","4,637.50",
,TITAN,"1,592.00","1,571.00",-21.00,-1.32,"1,571.00","5,944",93.38,"66,42,771.16","1,621.35",810.00,
,HEROMOTOCO,"2,912.90","2,874.00",-38.90,-1.34,"2,874.00","4,451",127.92,"37,82,608.66","3,629.05","1,752.55",
,HINDUNILVR,"2,476.00","2,441.50",-34.50,-1.39,"2,441.50","7,931",193.64,"2,21,06,583.83","2,526.15","1,902.00",
,BHARTIARTL,545.25,537.55,-7.70,-1.41,537.55,"32,841",176.54,"1,31,75,922.62",623.00,394.00,
,HDFCLIFE,694.85,685.00,-9.85,-1.42,685.00,"10,385",71.14,"57,57,436.95",746.00,451.15,
,ITC,213.10,210.00,-3.10,-1.45,210.00,"1,39,788",293.55,"1,86,21,930.04",239.20,157.10,
,GRASIM,"1,440.00","1,417.95",-22.05,-1.53,"1,417.95","1,540",21.84,"54,95,206.79","1,472.70",469.20,
,M&M,791.15,779.00,-12.15,-1.54,779.00,"7,408",57.71,"75,73,348.72",952.05,320.60,
,UPL,634.90,625.00,-9.90,-1.56,625.00,"17,606",110.04,"34,92,665.71",673.95,312.75,
,ADANIPORTS,823.60,809.90,-13.70,-1.66,809.90,"54,358",440.25,"60,24,062.70",885.00,247.45,
,SHREECEM,"31,748.75","31,200.00",-548.75,-1.73,"31,200.00",131,40.87,"42,38,419.00","32,048.00","16,135.00",
,IOC,91.70,90.10,-1.60,-1.74,90.10,"93,241",84.01,"23,30,851.61",105.00,71.15,
,BPCL,425.60,417.95,-7.65,-1.80,417.95,"24,142",100.90,"39,69,906.06",482.40,291.80,
,JSWSTEEL,621.00,609.00,-12.00,-1.93,609.00,"40,715",247.95,"60,04,375.57",639.00,152.60,
,BAJAJ-AUTO,"3,651.30","3,579.50",-71.80,-1.97,"3,579.50","1,358",48.61,"47,54,546.10","4,361.40","2,264.50",
,ASIANPAINT,"2,630.80","2,578.20",-52.60,-2.00,"2,578.20","4,765",122.85,"1,18,60,250.47","2,873.45","1,482.95",
,HDFCBANK,"1,421.75","1,393.00",-28.75,-2.02,"1,393.00","82,574","1,150.26","6,19,18,540.71","1,641.00",826.10,
,BAJAJFINSV,"9,629.05","9,419.95",-209.10,-2.17,"9,419.95","1,127",106.16,"58,22,901.14","10,579.00","3,985.30",
,KOTAKBANK,"1,799.25","1,757.25",-42.00,-2.33,"1,757.25","14,284",251.01,"2,63,84,203.95","2,049.00","1,108.20",
,HINDALCO,361.05,352.10,-8.95,-2.48,352.10,"24,906",87.69,"52,72,574.76",374.00,101.85,
,HDFC,"2,513.90","2,450.00",-63.90,-2.54,"2,450.00","35,493",869.58,"4,52,80,637.87","2,896.00","1,486.00",
,SBIN,353.00,344.00,-9.00,-2.55,344.00,"2,54,006",873.78,"1,35,46,667.85",427.70,149.45,
,TATASTEEL,899.50,876.55,-22.95,-2.55,876.55,"39,184",343.47,"67,88,958.05",953.65,259.20,
,AXISBANK,668.20,651.00,-17.20,-2.57,651.00,"86,868",565.51,"1,67,85,004.72",799.00,332.85,
,ICICIBANK,566.20,551.40,-14.80,-2.61,551.40,"1,34,691",742.69,"3,91,55,302.50",679.40,285.55,
,BAJFINANCE,"4,872.30","4,740.00",-132.30,-2.72,"4,740.00","10,660",505.28,"1,29,18,339.68","5,822.20","1,783.00",
,ONGC,103.80,100.85,-2.95,-2.84,100.85,"91,648",92.43,"37,86,915.65",122.35,60.80,
,TATAMOTORS,318.20,307.85,-10.35,-3.25,307.85,"1,36,956",421.62,"57,05,218.43",357.00,69.10,
,INDUSINDBK,923.65,884.00,-39.65,-4.29,884.00,"25,370",224.27,"52,13,110.96","1,119.50",330.00,
